iteration,time,result
6793221,3600.138892173767,46147851554841
6793222,3600.1394102573395,46147865141284
6793223,3600.139928817749,46147878727729
6793224,3600.1404445171356,46147892314176
6793225,3600.140964984894,46147905900625
6793226,3600.141482114792,46147919487076
6793227,3600.142059326172,46147933073529
6793228,3600.1425774097443,46147946659984
6793229,3600.143095254898,46147960246441
6793230,3600.1436116695404,46147973832900
6793231,3600.14412856102,46147987419361
6793232,3600.144643306732,46148001005824
6793233,3600.145158290863,46148014592289
6793234,3600.1456727981567,46148028178756
6793235,3600.146188735962,46148041765225
6793236,3600.146707057953,46148055351696
6793237,3600.1473293304443,46148068938169
6793238,3600.147872209549,46148082524644
6793239,3600.1483912467957,46148096111121
6793240,3600.148913860321,46148109697600
6793241,3600.149429798126,46148123284081
6793242,3600.149994134903,46148136870564
6793243,3600.1505150794983,46148150457049
6793244,3600.1510334014893,46148164043536
6793245,3600.151549577713,46148177630025
6793246,3600.152063369751,46148191216516
6793247,3600.1525781154633,46148204803009
6793248,3600.15309381485,46148218389504
6793249,3600.153609752655,46148231976001
6793250,3600.154125928879,46148245562500
6793251,3600.154644727707,46148259149001
6793252,3600.1551604270935,46148272735504
6793253,3600.1556775569916,46148286322009
6793254,3600.156195640564,46148299908516
6793255,3600.156712293625,46148313495025
6793256,3600.157284259796,46148327081536
6793257,3600.157875061035,46148340668049
6793258,3600.1583983898163,46148354254564
6793259,3600.1589183807373,46148367841081
6793260,3600.159437417984,46148381427600
6793261,3600.1599571704865,46148395014121
6793262,3600.1604766845703,46148408600644
6793263,3600.1609964370728,46148422187169
6793264,3600.1615126132965,46148435773696
6793265,3600.162031173706,46148449360225
6793266,3600.162598133087,46148462946756
6793267,3600.1631169319153,46148476533289
6793268,3600.163632631302,46148490119824
6793269,3600.164147377014,46148503706361
6793270,3600.1646625995636,46148517292900
6793271,3600.165179014206,46148530879441
6793272,3600.165735244751,46148544465984
6793273,3600.1662623882294,46148558052529
6793274,3600.166782140732,46148571639076
6793275,3600.1673908233643,46148585225625
6793276,3600.1679315567017,46148598812176
6793277,3600.16845035553,46148612398729
6793278,3600.1689672470093,46148625985284
6793279,3600.1694855690002,46148639571841
6793280,3600.17000412941,46148653158400
6793281,3600.1705186367035,46148666744961
6793282,3600.1710357666016,46148680331524
6793283,3600.1715528964996,46148693918089
6793284,3600.172068119049,46148707504656
6793285,3600.17258477211,46148721091225
6793286,3600.1731016635895,46148734677796
6793287,3600.1736590862274,46148748264369
6793288,3600.1741857528687,46148761850944
6793289,3600.1747076511383,46148775437521
6793290,3600.1752240657806,46148789024100
6793291,3600.1757411956787,46148802610681
6793292,3600.1762568950653,46148816197264
6793293,3600.176772594452,46148829783849
6793294,3600.1774356365204,46148843370436
6793295,3600.1779754161835,46148856957025
6793296,3600.178495168686,46148870543616
6793297,3600.179010629654,46148884130209
6793298,3600.179526567459,46148897716804
6793299,3600.1800417900085,46148911303401
6793300,3600.180559158325,46148924890000
6793301,3600.1810731887817,46148938476601
6793302,3600.1816194057465,46148952063204
6793303,3600.1821625232697,46148965649809
