iteration,time,result
201,0.1216726303100586,40401
202,0.12218666076660156,40804
203,0.12270689010620117,41209
204,0.12322545051574707,41616
205,0.12374258041381836,42025
206,0.12426090240478516,42436
207,0.12486648559570312,42849
208,0.1253972053527832,43264
209,0.12592434883117676,43681
210,0.12644624710083008,44100
211,0.12696361541748047,44521
212,0.12748336791992188,44944
213,0.12800312042236328,45369
214,0.12852144241333008,45796
215,0.1290416717529297,46225
216,0.12955951690673828,46656
217,0.13045930862426758,47089
218,0.13105177879333496,47524
219,0.13158130645751953,47961
220,0.13210201263427734,48400
221,0.13262391090393066,48841
222,0.13314557075500488,49284
223,0.13367295265197754,49729
224,0.13419699668884277,50176
225,0.13488030433654785,50625
226,0.13542485237121582,51076
227,0.13594436645507812,51529
228,0.13646554946899414,51984
229,0.13698196411132812,52441
